#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
2.41863211e-03 -1.92039874e-13 2.92495077e-07 7.31105376e-07
4.83726421e-03 -7.69185075e-13 5.85306600e-07 1.46235760e-06
7.25589632e-03 -1.73092281e-12 8.78750544e-07 2.19390344e-06
9.67452842e-03 -3.07712489e-12 1.17314194e-06 2.92588948e-06
1.20931605e-02 -4.80727852e-12 1.46879444e-06 3.65846208e-06
1.45117926e-02 -6.92151189e-12 1.76601983e-06 4.39176724e-06
1.69304247e-02 -9.41867124e-12 2.06512760e-06 5.12595055e-06
1.93490568e-02 -1.22982438e-11 2.36642456e-06 5.86115709e-06
2.17676890e-02 -1.55599731e-11 2.67021440e-06 6.59753138e-06
2.41863211e-02 -1.92032182e-11 2.97679731e-06 7.33521726e-06
2.66049532e-02 -2.32264407e-11 3.28646962e-06 8.07435781e-06
2.90235853e-02 -2.76289997e-11 3.59952351e-06 8.81509533e-06
3.14422174e-02 -3.24106387e-11 3.91624663e-06 9.55757119e-06
3.38608495e-02 -3.75687938e-11 4.23692188e-06 1.03019258e-05
3.62794816e-02 -4.31032086e-11 4.56182712e-06 1.10482985e-05
3.86981137e-02 -4.90127293e-11 4.89123498e-06 1.17968275e-05
4.11167458e-02 -5.52956894e-11 5.22541263e-06 1.25476498e-05
4.35353779e-02 -6.19510633e-11 5.56462163e-06 1.33009013e-05
4.59540100e-02 -6.89761588e-11 5.90911780e-06 1.40567163e-05
4.83726421e-02 -7.63703349e-11 6.25915108e-06 1.48152279e-05
5.07912742e-02 -8.41317969e-11 6.61496549e-06 1.55765677e-05
5.32099063e-02 -9.22584936e-11 6.97679900e-06 1.63408657e-05
5.56285384e-02 -1.00748887e-10 7.34488359e-06 1.71082503e-05
5.80471705e-02 -1.09600925e-10 7.71944512e-06 1.78788483e-05
6.04658027e-02 -1.18812173e-10 8.10070344e-06 1.86527849e-05
6.28844348e-02 -1.28380963e-10 8.48887235e-06 1.94301834e-05
6.53030669e-02 -1.38304861e-10 8.88415968e-06 2.02111654e-05
6.77216990e-02 -1.48581686e-10 9.28676731e-06 2.09958505e-05
7.01403311e-02 -1.59208619e-10 9.69689128e-06 2.17843565e-05
7.25589632e-02 -1.70183993e-10 1.01147219e-05 2.25767992e-05
7.49775953e-02 -1.81504730e-10 1.05404436e-05 2.33732924e-05
7.73962274e-02 -1.93168268e-10 1.09742356e-05 2.41739480e-05
7.98148595e-02 -2.05172170e-10 1.14162714e-05 2.49788757e-05
