#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
4.83726421e-03 2.19010066e-11 2.16465902e-10 1.89140437e-10
9.67452842e-03 4.38015005e-11 4.33022345e-10 3.79398590e-10
1.45117926e-02 6.57022507e-11 6.49452275e-10 5.71743974e-10
1.93490568e-02 8.76030009e-11 8.65545277e-10 7.67131804e-10
2.41863211e-02 1.09503495e-10 1.08110209e-09 9.66492624e-10
2.90235853e-02 1.31404373e-10 1.29593597e-09 1.17072675e-09
3.38608495e-02 1.53305252e-10 1.50987734e-09 1.38069600e-09
3.86981137e-02 1.75205361e-10 1.72277524e-09 1.59721988e-09
4.35353779e-02 1.97106239e-10 1.93450246e-09 1.82106981e-09
4.83726421e-02 2.19006605e-10 2.14495656e-09 2.05296780e-09
5.32099063e-02 2.40907483e-10 2.35406517e-09 2.29358321e-09
5.80471705e-02 2.62807849e-10 2.56178777e-09 2.54353357e-09
6.28844348e-02 2.84708599e-10 2.76811976e-09 2.80338270e-09
6.77216990e-02 3.06609606e-10 2.97309566e-09 3.07364474e-09
7.25589632e-02 3.28509972e-10 3.17679157e-09 3.35478265e-09
7.73962274e-02 3.50410465e-10 3.37932873e-09 3.64721255e-09
8.22334916e-02 3.72311216e-10 3.58087673e-09 3.95130598e-09
8.70707558e-02 3.94212222e-10 3.78165644e-09 4.26738968e-09
9.19080200e-02 4.16112460e-10 3.98194138e-09 4.59575269e-09
9.67452842e-02 4.38013466e-10 4.18206154e-09 4.93664582e-09
1.01582548e-01 4.59913960e-10 4.38240358e-09 5.29028575e-09
1.06419813e-01 4.81814198e-10 4.58341330e-09 5.65685823e-09
1.11257077e-01 5.03715332e-10 4.78559622e-09 6.03651772e-09
1.16094341e-01 5.25615826e-10 4.98951710e-09 6.42939316e-09
1.20931605e-01 5.47516961e-10 5.19579950e-09 6.83558905e-09
1.25768870e-01 5.69417198e-10 5.40512465e-09 7.25518586e-09
1.30606134e-01 5.91317692e-10 5.61822889e-09 7.68824414e-09
1.35443398e-01 6.13218571e-10 5.83589970e-09 8.13480446e-09
1.40280662e-01 6.35119193e-10 6.05897232e-09 8.59489058e-09
1.45117926e-01 6.57019687e-10 6.28832394e-09 9.06850926e-09
1.49955191e-01 6.78920693e-10 6.52486740e-09 9.55565285e-09
1.54792455e-01 7.00821059e-10 6.76954516e-09 1.00562996e-08
1.59629719e-01 7.22722066e-10 7.02332073e-09 1.05704144e-08
1.64466983e-01 7.44622688e-10 7.28717116e-09 1.10979509e-08
1.69304247e-01 7.66523053e-10 7.56207827e-09 1.16388521e-08
1.74141512e-01 7.88423803e-10 7.84902069e-09 1.21930490e-08
1.78978776e-01 8.10324682e-10 8.14896468e-09 1.27604649e-08
1.83816040e-01 8.32224791e-10 8.46285665e-09 1.33410125e-08
1.88653304e-01 8.54125670e-10 8.79161519e-09 1.39345968e-08
1.93490568e-01 8.76025779e-10 9.13612443e-09 1.45411152e-08
1.98327833e-01 8.97926529e-10 9.49722788e-09 1.51604567e-08
2.03165097e-01 9.19827407e-10 9.87572345e-09 1.57925035e-08
2.08002361e-01 9.41727901e-10 1.02723588e-08 1.64371306e-08
2.12839625e-01 9.63629164e-10 1.06878288e-08 1.70942074e-08
2.17676890e-01 9.85529402e-10 1.11227730e-08 1.77635968e-08
2.22514154e-01 1.00743002e-09 1.15777743e-08 1.84451556e-08
2.27351418e-01 1.02933065e-09 1.20533586e-08 1.91387358e-08
2.32188682e-01 1.05123114e-09 1.25499948e-08 1.98441827e-08
2.37025946e-01 1.07313215e-09 1.30680961e-08 2.05613374e-08
2.41863211e-01 1.09503264e-09 1.36080210e-08 2.12900368e-08
