#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.55704200e-03 -5.44029787e-14 1.56058907e-07 7.80480756e-08
3.11408401e-03 -2.18655895e-13 3.12098211e-07 1.56168931e-07
4.67112601e-03 -4.92758750e-13 4.68098324e-07 2.34435224e-07
6.22816801e-03 -8.76595544e-13 6.24039683e-07 3.12919375e-07
7.78521001e-03 -1.36958629e-12 7.79902769e-07 3.91693443e-07
9.34225202e-03 -1.97184698e-12 9.35668115e-07 4.70829016e-07
1.08992940e-02 -2.68430561e-12 1.09131632e-06 5.50397092e-07
1.24563360e-02 -3.50545419e-12 1.24682807e-06 6.30467976e-07
1.40133780e-02 -4.43587273e-12 1.40218414e-06 7.11111170e-07
1.55704200e-02 -5.47614120e-12 1.55736543e-06 7.92395277e-07
1.71274620e-02 -6.62498363e-12 1.71235293e-06 8.74387904e-07
1.86845040e-02 -7.88216803e-12 1.86712781e-06 9.57155576e-07
2.02415460e-02 -9.24908637e-12 2.02167135e-06 1.04076365e-06
2.17985880e-02 -1.07244627e-11 2.17596502e-06 1.12527624e-06
2.33556300e-02 -1.23084129e-11 2.32999047e-06 1.21075615e-06
2.49126720e-02 -1.40005892e-11 2.48372951e-06 1.29726482e-06
2.64697140e-02 -1.58009914e-11 2.63716421e-06 1.38486226e-06
2.80267561e-02 -1.77098515e-11 2.79027681e-06 1.47360697e-06
2.95837981e-02 -1.97264737e-11 2.94304982e-06 1.56355598e-06
3.11408401e-02 -2.18510898e-11 3.09546598e-06 1.65476475e-06
3.26978821e-02 -2.40828879e-11 3.24750830e-06 1.74728714e-06
3.42549241e-02 -2.64216360e-11 3.39916008e-06 1.84117543e-06
3.58119661e-02 -2.88675661e-11 3.55040489e-06 1.93648028e-06
3.73690081e-02 -3.14209102e-11 3.70122663e-06 2.03325070e-06
3.89260501e-02 -3.40802762e-11 3.85160951e-06 2.13153411e-06
4.04830921e-02 -3.68461283e-11 4.00153809e-06 2.23137626e-06
4.20401341e-02 -3.97180024e-11 4.15099726e-06 2.33282129e-06
4.35971761e-02 -4.26958985e-11 4.29997231e-06 2.43591173e-06
4.51542181e-02 -4.57793526e-11 4.44844889e-06 2.54068850e-06
4.67112601e-02 -4.89679008e-11 4.59641306e-06 2.64719095e-06
4.82683021e-02 -5.22617749e-11 4.74385129e-06 2.75545686e-06
4.98253441e-02 -5.56598151e-11 4.89075048e-06 2.86552249e-06
5.13823861e-02 -5.91624854e-11 5.03709799e-06 2.97742257e-06
5.29394281e-02 -6.27681617e-11 5.18288162e-06 3.09119035e-06
5.44964701e-02 -6.64783520e-11 5.32808966e-06 3.20685767e-06
5.60535121e-02 -7.02915485e-11 5.47271090e-06 3.32445491e-06
5.76105541e-02 -7.42074029e-11 5.61673463e-06 3.44401109e-06
5.91675961e-02 -7.82257995e-11 5.76015068e-06 3.56555388e-06
6.07246381e-02 -8.23459262e-11 5.90294941e-06 3.68910965e-06
6.22816801e-02 -8.65682469e-11 6.04512175e-06 3.81470349e-06
6.38387221e-02 -9.08920657e-11 6.18665922e-06 3.94235926e-06
6.53957641e-02 -9.53163387e-11 6.32755390e-06 4.07209961e-06
6.69528061e-02 -9.98414137e-11 6.46779852e-06 4.20394605e-06
6.85098481e-02 -1.04466479e-10 6.60738641e-06 4.33791896e-06
7.00668901e-02 -1.09190954e-10 6.74631158e-06 4.47403762e-06
