#	Time	Error_of_Energy	Error_of_Position
1.00658424e-02 7.98402397e-06 2.10502886e-05
2.01316848e-02 3.15177957e-05 4.17875078e-05
3.01975273e-02 6.93901559e-05 6.19139154e-05
4.02633697e-02 1.19720793e-04 8.11609347e-05
5.03292121e-02 1.80143265e-04 9.93003548e-05
6.03950545e-02 2.48018581e-04 1.16152079e-04
7.04608969e-02 3.20649047e-04 1.31587997e-04
8.05267394e-02 3.95466443e-04 1.45532222e-04
9.05925818e-02 4.70177082e-04 1.57958249e-04
1.00658424e-01 5.42856006e-04 1.68883457e-04
1.10724267e-01 6.11991349e-04 1.78362437e-04
1.20790109e-01 6.76486234e-04 1.86479291e-04
1.30855951e-01 7.35628893e-04 1.93340064e-04
1.40921794e-01 7.89042468e-04 1.99065427e-04
1.50987636e-01 8.36624824e-04 2.03784455e-04
1.61053479e-01 8.78486521e-04 2.07629098e-04
1.71119321e-01 9.14892638e-04 2.10729814e-04
1.81185164e-01 9.46211841e-04 2.13212271e-04
1.91251006e-01 9.72874234e-04 2.15194767e-04
2.01316848e-01 9.95338186e-04 2.16786590e-04
2.11382691e-01 1.01406549e-03 2.18086898e-04
2.21448533e-01 1.02950373e-03 2.19184212e-04
2.31514376e-01 1.04207462e-03 2.20156255e-04
2.41580218e-01 1.05216694e-03 2.21070139e-04
2.51646061e-01 1.06013310e-03 2.21982792e-04
2.61711903e-01 1.06628810e-03 2.22941529e-04
2.71777745e-01 1.07091043e-03 2.23984745e-04
2.81843588e-01 1.07424396e-03 2.25142647e-04
2.91909430e-01 1.07650054e-03 2.26438345e-04
3.01975273e-01 1.07786301e-03 2.27888213e-04
3.12041115e-01 1.07848822e-03 2.29503183e-04
3.22106957e-01 1.07851003e-03 2.31289370e-04
3.32172800e-01 1.07804216e-03 2.33248792e-04
3.42238642e-01 1.07718080e-03 2.35380162e-04
3.52304485e-01 1.07600700e-03 2.37679437e-04
3.62370327e-01 1.07458877e-03 2.40140390e-04
3.72436170e-01 1.07298298e-03 2.42755658e-04
3.82502012e-01 1.07123699e-03 2.45516011e-04
3.92567854e-01 1.06939010e-03 2.48412273e-04
4.02633697e-01 1.06747474e-03 2.51433943e-04
4.12699539e-01 1.06551757e-03 2.54571007e-04
4.22765382e-01 1.06354037e-03 2.57813304e-04
4.32831224e-01 1.06156083e-03 2.61150705e-04
4.42897067e-01 1.05959320e-03 2.64573421e-04
4.52962909e-01 1.05764886e-03 2.68072088e-04
4.63028751e-01 1.05573677e-03 2.71637816e-04
4.73094594e-01 1.05386391e-03 2.75262252e-04
4.83160436e-01 1.05203559e-03 2.78937615e-04
4.93226279e-01 1.05025574e-03 2.82656552e-04
5.03292121e-01 1.04852716e-03 2.86411883e-04
5.13357963e-01 1.04685173e-03 2.90197653e-04
5.23423806e-01 1.04523053e-03 2.94008333e-04
5.33489648e-01 1.04366406e-03 2.97837826e-04
5.43555491e-01 1.04215230e-03 3.01682252e-04
5.53621333e-01 1.04069482e-03 3.05536228e-04
5.63687176e-01 1.03929087e-03 3.09396730e-04
5.73753018e-01 1.03793947e-03 3.13259053e-04
5.83818860e-01 1.03663943e-03 3.17120886e-04
5.93884703e-01 1.03538941e-03 3.20978755e-04
6.03950545e-01 1.03418797e-03 3.24829755e-04
6.14016388e-01 1.03303359e-03 3.28672147e-04
6.24082230e-01 1.03192472e-03 3.32503573e-04
6.34148073e-01 1.03085976e-03 3.36321681e-04
6.44213915e-01 1.02983711e-03 3.40125012e-04
6.54279757e-01 1.02885518e-03 3.43912273e-04
6.64345600e-01 1.02791240e-03 3.47682122e-04
6.74411442e-01 1.02700721e-03 3.51433314e-04
6.84477285e-01 1.02613809e-03 3.55164764e-04
