#	Time	Error_of_Energy	Error_of_Position
1.05571446e-02 -7.76609715e-06 1.10487700e-05
2.11142892e-02 -3.04769659e-05 2.20111651e-05
3.16714338e-02 -6.64490513e-05 3.28035921e-05
4.22285784e-02 -1.13122159e-04 4.33479444e-05
5.27857230e-02 -1.67374854e-04 5.35739480e-05
6.33428676e-02 -2.25875811e-04 6.34209741e-05
7.39000122e-02 -2.85412102e-04 7.28395163e-05
8.44571568e-02 -3.43149674e-04 8.17918528e-05
9.50143014e-02 -3.96802450e-04 9.02509917e-05
1.05571446e-01 -4.44707564e-04 9.82024054e-05
1.16128591e-01 -4.85820248e-04 1.05640839e-04
1.26685735e-01 -5.19650529e-04 1.12569946e-04
1.37242880e-01 -5.46165815e-04 1.19000946e-04
1.47800024e-01 -5.65680547e-04 1.24951124e-04
1.58357169e-01 -5.78748698e-04 1.30441345e-04
1.68914314e-01 -5.86069100e-04 1.35496533e-04
1.79471458e-01 -5.88408432e-04 1.40142533e-04
1.90028603e-01 -5.86542936e-04 1.44406711e-04
2.00585747e-01 -5.81217500e-04 1.48316363e-04
2.11142892e-01 -5.73119447e-04 1.51898251e-04
2.21700037e-01 -5.62863973e-04 1.55178363e-04
2.32257181e-01 -5.50988226e-04 1.58181188e-04
2.42814326e-01 -5.37951435e-04 1.60930325e-04
2.53371470e-01 -5.24138964e-04 1.63447026e-04
2.63928615e-01 -5.09868670e-04 1.65751642e-04
2.74485759e-01 -4.95398388e-04 1.67862997e-04
2.85042904e-01 -4.80933731e-04 1.69797970e-04
2.95600049e-01 -4.66635675e-04 1.71572093e-04
3.06157193e-01 -4.52627605e-04 1.73199752e-04
3.16714338e-01 -4.39001670e-04 1.74694379e-04
3.27271482e-01 -4.25824365e-04 1.76067306e-04
3.37828627e-01 -4.13141358e-04 1.77328126e-04
3.48385772e-01 -4.00981594e-04 1.78489012e-04
3.58942916e-01 -3.89360747e-04 1.79556609e-04
3.69500061e-01 -3.78284093e-04 1.80540348e-04
3.80057205e-01 -3.67748873e-04 1.81445649e-04
3.90614350e-01 -3.57746228e-04 1.82282443e-04
4.01171495e-01 -3.48262768e-04 1.83052402e-04
4.11728639e-01 -3.39281835e-04 1.83762932e-04
4.22285784e-01 -3.30784507e-04 1.84420980e-04
4.32842928e-01 -3.22750401e-04 1.85028781e-04
