#	Time	Error_of_Energy	Error_of_Position
2.11142892e-02 -8.98727069e-07 1.96173672e-07
4.22285784e-02 -2.55944804e-06 3.68068780e-07
6.33428676e-02 -4.48317240e-06 4.95858406e-07
8.44571568e-02 -6.20235050e-06 5.75227319e-07
1.05571446e-01 -7.47341046e-06 6.14224563e-07
1.26685735e-01 -8.27838887e-06 6.29322443e-07
1.47800024e-01 -8.72263203e-06 6.36934002e-07
1.68914314e-01 -8.93660130e-06 6.49394890e-07
1.90028603e-01 -9.02491484e-06 6.72863625e-07
2.11142892e-01 -9.05476630e-06 7.08187839e-07
2.32257181e-01 -9.06286777e-06 7.52909464e-07
2.53371470e-01 -9.06638571e-06 8.03849256e-07
2.74485759e-01 -9.07179227e-06 8.57886671e-07
2.95600049e-01 -9.08048710e-06 9.13048168e-07
3.16714338e-01 -9.09186834e-06 9.68131835e-07
3.37828627e-01 -9.10480829e-06 1.02157969e-06
3.58942916e-01 -9.11826173e-06 1.07375687e-06
3.80057205e-01 -9.13145333e-06 1.12353549e-06
4.01171495e-01 -9.14388561e-06 1.17181150e-06
4.22285784e-01 -9.15528490e-06 1.21785184e-06
4.43400073e-01 -9.16553724e-06 1.26217114e-06
4.64514362e-01 -9.17463304e-06 1.30378286e-06
4.85628651e-01 -9.18262549e-06 1.34384299e-06
5.06742941e-01 -9.18960155e-06 1.38264558e-06
5.27857230e-01 -9.19566295e-06 1.41987825e-06
5.48971519e-01 -9.20091425e-06 1.45416331e-06
5.70085808e-01 -9.20545601e-06 1.48825018e-06
5.91200097e-01 -9.20938110e-06 1.52107352e-06
6.12314387e-01 -9.21277305e-06 1.55233052e-06
6.33428676e-01 -9.21570570e-06 1.58116379e-06
6.54542965e-01 -9.21824354e-06 1.61186825e-06
6.75657254e-01 -9.22044240e-06 1.64002128e-06
6.96771543e-01 -9.22235034e-06 1.66592363e-06
7.17885832e-01 -9.22400856e-06 1.69097040e-06
7.39000122e-01 -9.22545233e-06 1.71565947e-06
7.60114411e-01 -9.22671171e-06 1.73984021e-06
7.81228700e-01 -9.22781240e-06 1.76340786e-06
8.02342989e-01 -9.22877630e-06 1.78663309e-06
8.23457278e-01 -9.22962209e-06 1.80991022e-06
8.44571568e-01 -9.23036576e-06 1.83309581e-06
8.65685857e-01 -9.23102094e-06 1.85493427e-06
8.86800146e-01 -9.23159933e-06 1.87368731e-06
9.07914435e-01 -9.23211094e-06 1.89037087e-06
9.29028724e-01 -9.23256436e-06 1.91176013e-06
9.50143014e-01 -9.23296699e-06 1.93396835e-06
9.71257303e-01 -9.23332521e-06 1.94861647e-06
9.92371592e-01 -9.23364450e-06 1.96530997e-06
1.01348588e+00 -9.23392961e-06 1.98833618e-06
1.03460017e+00 -9.23418467e-06 1.99957723e-06
1.05571446e+00 -9.23441324e-06 2.01926742e-06
1.07682875e+00 -9.23461841e-06 2.03706258e-06
1.09794304e+00 -9.23480291e-06 2.04768269e-06
1.11905733e+00 -9.23496907e-06 2.07106157e-06
1.14017162e+00 -9.23511897e-06 2.07691769e-06
1.16128591e+00 -9.23525440e-06 2.10230301e-06
1.18240019e+00 -9.23537696e-06 2.10602785e-06
1.20351448e+00 -9.23548802e-06 2.13211577e-06
1.22462877e+00 -9.23558881e-06 2.13435102e-06
1.24574306e+00 -9.23568041e-06 2.16027223e-06
1.26685735e+00 -9.23576378e-06 2.16366136e-06
1.28797164e+00 -9.23583976e-06 2.18471177e-06
1.30908593e+00 -9.23590909e-06 2.19602087e-06
1.33020022e+00 -9.23597243e-06 2.20379839e-06
1.35131451e+00 -9.23603038e-06 2.22859596e-06
1.37242880e+00 -9.23608346e-06 2.22474039e-06
1.39354309e+00 -9.23613213e-06 2.25113068e-06
1.41465738e+00 -9.23617682e-06 2.26061884e-06
1.43577166e+00 -9.23621790e-06 2.26148057e-06
1.45688595e+00 -9.23625570e-06 2.29197274e-06
1.47800024e+00 -9.23629052e-06 2.29137463e-06
1.49911453e+00 -9.23632263e-06 2.29827970e-06
1.52022882e+00 -9.23635226e-06 2.32862096e-06
1.54134311e+00 -9.23637965e-06 2.32481330e-06
1.56245740e+00 -9.23640498e-06 2.32999175e-06
1.58357169e+00 -9.23642844e-06 2.36279102e-06
1.60468598e+00 -9.23645017e-06 2.36253444e-06
1.62580027e+00 -9.23647033e-06 2.35697783e-06
1.64691456e+00 -9.23648905e-06 2.39095729e-06
1.66802885e+00 -9.23650644e-06 2.40458728e-06
1.68914314e+00 -9.23652262e-06 2.38913664e-06
1.71025742e+00 -9.23653767e-06 2.40740849e-06
1.73137171e+00 -9.23655170e-06 2.44113621e-06
1.75248600e+00 -9.23656477e-06 2.43782416e-06
1.77360029e+00 -9.23657697e-06 2.42332319e-06
1.79471458e+00 -9.23658837e-06 2.45326608e-06
1.81582887e+00 -9.23659901e-06 2.48432433e-06
1.83694316e+00 -9.23660897e-06 2.47565859e-06
1.85805745e+00 -9.23661829e-06 2.45905124e-06
1.87917174e+00 -9.23662702e-06 2.48842777e-06
1.90028603e+00 -9.23663519e-06 2.52478365e-06
1.92140032e+00 -9.23664286e-06 2.52239930e-06
1.94251461e+00 -9.23665006e-06 2.49827698e-06
1.96362889e+00 -9.23665682e-06 2.51088717e-06
1.98474318e+00 -9.23666317e-06 2.55483944e-06
2.00585747e+00 -9.23666915e-06 2.57470866e-06
2.02697176e+00 -9.23667477e-06 2.55425510e-06
2.04808605e+00 -9.23668005e-06 2.53352789e-06
2.06920034e+00 -9.23668504e-06 2.56153694e-06
2.09031463e+00 -9.23668973e-06 2.60757767e-06
2.11142892e+00 -9.23669416e-06 2.62260030e-06
2.13254321e+00 -9.23669834e-06 2.59777753e-06
2.15365750e+00 -9.23670229e-06 2.57271913e-06
2.17477179e+00 -9.23670602e-06 2.59602059e-06
2.19588608e+00 -9.23670954e-06 2.64640773e-06
2.21700037e+00 -9.23671287e-06 2.67488979e-06
2.23811465e+00 -9.23671602e-06 2.65931107e-06
2.25922894e+00 -9.23671901e-06 2.62345673e-06
2.28034323e+00 -9.23672183e-06 2.61659505e-06
2.30145752e+00 -9.23672451e-06 2.65972663e-06
2.32257181e+00 -9.23672705e-06 2.71175490e-06
2.34368610e+00 -9.23672946e-06 2.73119342e-06
2.36480039e+00 -9.23673174e-06 2.70675807e-06
2.38591468e+00 -9.23673391e-06 2.66659344e-06
2.40702897e+00 -9.23673597e-06 2.65682968e-06
2.42814326e+00 -9.23673792e-06 2.69913462e-06
2.44925755e+00 -9.23673978e-06 2.75761836e-06
2.47037184e+00 -9.23674155e-06 2.79121335e-06
2.49148612e+00 -9.23674324e-06 2.77899343e-06
2.51260041e+00 -9.23674484e-06 2.73543601e-06
2.53371470e+00 -9.23674636e-06 2.69933430e-06
2.55482899e+00 -9.23674782e-06 2.71108425e-06
2.57594328e+00 -9.23674920e-06 2.76669105e-06
2.59705757e+00 -9.23675052e-06 2.82829347e-06
2.61817186e+00 -9.23675178e-06 2.85930256e-06
2.63928615e+00 -9.23675298e-06 2.84338115e-06
2.66040044e+00 -9.23675412e-06 2.79507416e-06
2.68151473e+00 -9.23675522e-06 2.74995727e-06
2.70262902e+00 -9.23675626e-06 2.74643793e-06
2.72374331e+00 -9.23675726e-06 2.79495956e-06
2.74485759e+00 -9.23675821e-06 2.86490028e-06
2.76597188e+00 -9.23675913e-06 2.92040167e-06
2.78708617e+00 -9.23676000e-06 2.93385372e-06
2.80820046e+00 -9.23676083e-06 2.90107308e-06
2.82931475e+00 -9.23676163e-06 2.84345409e-06
2.85042904e+00 -9.23676239e-06 2.79579677e-06
2.87154333e+00 -9.23676313e-06 2.79220196e-06
2.89265762e+00 -9.23676383e-06 2.84156466e-06
2.91377191e+00 -9.23676450e-06 2.91713032e-06
2.93488620e+00 -9.23676514e-06 2.98634915e-06
2.95600049e+00 -9.23676576e-06 3.01962825e-06
2.97711478e+00 -9.23676635e-06 3.00407205e-06
2.99822907e+00 -9.23676692e-06 2.94953244e-06
3.01934335e+00 -9.23676747e-06 2.88366675e-06
3.04045764e+00 -9.23676799e-06 2.83907112e-06
3.06157193e+00 -9.23676849e-06 2.84447754e-06
3.08268622e+00 -9.23676897e-06 2.90092072e-06
3.10380051e+00 -9.23676944e-06 2.98393647e-06
3.12491480e+00 -9.23676988e-06 3.06403157e-06
3.14602909e+00 -9.23677031e-06 3.11239988e-06
3.16714338e+00 -9.23677072e-06 3.11240327e-06
3.18825767e+00 -9.23677112e-06 3.06612047e-06
3.20937196e+00 -9.23677150e-06 2.99334364e-06
3.23048625e+00 -9.23677186e-06 2.92353667e-06
3.25160054e+00 -9.23677222e-06 2.88506564e-06
3.27271482e+00 -9.23677256e-06 2.90094258e-06
3.29382911e+00 -9.23677288e-06 2.96549092e-06
3.31494340e+00 -9.23677320e-06 3.05718083e-06
3.33605769e+00 -9.23677350e-06 3.14942822e-06
3.35717198e+00 -9.23677379e-06 3.21469861e-06
3.37828627e+00 -9.23677408e-06 3.23389553e-06
3.39940056e+00 -9.23677435e-06 3.20259484e-06
3.42051485e+00 -9.23677461e-06 3.13225370e-06
3.44162914e+00 -9.23677486e-06 3.04647825e-06
3.46274343e+00 -9.23677511e-06 2.97305145e-06
3.48385772e+00 -9.23677534e-06 2.93605431e-06
3.50497201e+00 -9.23677557e-06 2.95454177e-06
3.52608629e+00 -9.23677579e-06 3.02214969e-06
3.54720058e+00 -9.23677600e-06 3.12096046e-06
3.56831487e+00 -9.23677620e-06 3.22804374e-06
3.58942916e+00 -9.23677640e-06 3.31731788e-06
3.61054345e+00 -9.23677659e-06 3.36702385e-06
3.63165774e+00 -9.23677677e-06 3.36573234e-06
3.65277203e+00 -9.23677695e-06 3.31503057e-06
3.67388632e+00 -9.23677712e-06 3.22902936e-06
3.69500061e+00 -9.23677729e-06 3.13075812e-06
3.71611490e+00 -9.23677745e-06 3.04571719e-06
3.73722919e+00 -9.23677761e-06 2.99540923e-06
3.75834348e+00 -9.23677776e-06 2.99755264e-06
3.77945777e+00 -9.23677790e-06 3.05363238e-06
3.80057205e+00 -9.23677804e-06 3.14970126e-06
3.82168634e+00 -9.23677818e-06 3.26857799e-06
3.84280063e+00 -9.23677831e-06 3.38750311e-06
3.86391492e+00 -9.23677844e-06 3.48285633e-06
3.88502921e+00 -9.23677856e-06 3.53598563e-06
3.90614350e+00 -9.23677868e-06 3.53710433e-06
3.92725779e+00 -9.23677880e-06 3.48695290e-06
3.94837208e+00 -9.23677891e-06 3.39657991e-06
3.96948637e+00 -9.23677902e-06 3.28526893e-06
3.99060066e+00 -9.23677913e-06 3.17639378e-06
4.01171495e+00 -9.23677923e-06 3.09183132e-06
4.03282924e+00 -9.23677933e-06 3.04828776e-06
4.05394352e+00 -9.23677943e-06 3.05969586e-06
4.07505781e+00 -9.23677952e-06 3.12360334e-06
4.09617210e+00 -9.23677961e-06 3.22870809e-06
4.11728639e+00 -9.23677970e-06 3.36077648e-06
4.13840068e+00 -9.23677978e-06 3.49994195e-06
4.15951497e+00 -9.23677987e-06 3.62415757e-06
4.18062926e+00 -9.23677995e-06 3.71388312e-06
4.20174355e+00 -9.23678002e-06 3.75553184e-06
4.22285784e+00 -9.23678010e-06 3.74331868e-06
4.24397213e+00 -9.23678017e-06 3.67987139e-06
4.26508642e+00 -9.23678025e-06 3.57586316e-06
4.28620071e+00 -9.23678032e-06 3.44858694e-06
4.30731499e+00 -9.23678038e-06 3.31917069e-06
4.32842928e+00 -9.23678045e-06 3.20845471e-06
4.34954357e+00 -9.23678051e-06 3.13297366e-06
4.37065786e+00 -9.23678057e-06 3.10486927e-06
4.39177215e+00 -9.23678063e-06 3.13339152e-06
4.41288644e+00 -9.23678069e-06 3.21190261e-06
4.43400073e+00 -9.23678075e-06 3.33189461e-06
4.45511502e+00 -9.23678081e-06 3.48116355e-06
4.47622931e+00 -9.23678086e-06 3.64215441e-06
4.49734360e+00 -9.23678091e-06 3.79477516e-06
4.51845789e+00 -9.23678096e-06 3.92008036e-06
4.53957218e+00 -9.23678101e-06 4.00306308e-06
4.56068647e+00 -9.23678106e-06 4.03427599e-06
4.58180075e+00 -9.23678111e-06 4.01057715e-06
4.60291504e+00 -9.23678115e-06 3.93530271e-06
4.62402933e+00 -9.23678120e-06 3.81798267e-06
4.64514362e+00 -9.23678124e-06 3.67350321e-06
4.66625791e+00 -9.23678128e-06 3.52045365e-06
4.68737220e+00 -9.23678132e-06 3.37842966e-06
4.70848649e+00 -9.23678136e-06 3.26462156e-06
4.72960078e+00 -9.23678140e-06 3.19134348e-06
4.75071507e+00 -9.23678144e-06 3.16770801e-06
4.77182936e+00 -9.23678148e-06 3.20031841e-06
4.79294365e+00 -9.23678151e-06 3.28314673e-06
4.81405794e+00 -9.23678155e-06 3.41025358e-06
4.83517222e+00 -9.23678158e-06 3.57259755e-06
4.85628651e+00 -9.23678162e-06 3.75595791e-06
4.87740080e+00 -9.23678165e-06 3.94270042e-06
4.89851509e+00 -9.23678168e-06 4.11468544e-06
4.91962938e+00 -9.23678171e-06 4.25572520e-06
4.94074367e+00 -9.23678174e-06 4.35315501e-06
4.96185796e+00 -9.23678177e-06 4.39867016e-06
4.98297225e+00 -9.23678180e-06 4.38869886e-06
5.00408654e+00 -9.23678183e-06 4.32450693e-06
5.02520083e+00 -9.23678185e-06 4.21211810e-06
5.04631512e+00 -9.23678188e-06 4.06202663e-06
5.06742941e+00 -9.23678191e-06 3.88857503e-06
5.08854369e+00 -9.23678193e-06 3.70878141e-06
5.10965798e+00 -9.23678196e-06 3.54041063e-06
5.13077227e+00 -9.23678198e-06 3.39938734e-06
5.15188656e+00 -9.23678200e-06 3.29744339e-06
5.17300085e+00 -9.23678203e-06 3.24197766e-06
5.19411514e+00 -9.23678205e-06 3.23998316e-06
5.21522943e+00 -9.23678207e-06 3.29232953e-06
5.23634372e+00 -9.23678209e-06 3.39398767e-06
5.25745801e+00 -9.23678211e-06 3.54104140e-06
5.27857230e+00 -9.23678213e-06 3.72595313e-06
5.29968659e+00 -9.23678215e-06 3.93643786e-06
5.32080088e+00 -9.23678217e-06 4.15697977e-06
5.34191517e+00 -9.23678219e-06 4.37112103e-06
5.36302945e+00 -9.23678221e-06 4.56340356e-06
5.38414374e+00 -9.23678223e-06 4.72064098e-06
5.40525803e+00 -9.23678225e-06 4.83262156e-06
5.42637232e+00 -9.23678227e-06 4.89244510e-06
5.44748661e+00 -9.23678228e-06 4.89665924e-06
5.46860090e+00 -9.23678230e-06 4.84529449e-06
5.48971519e+00 -9.23678232e-06 4.74184245e-06
5.51082948e+00 -9.23678233e-06 4.59317785e-06
5.53194377e+00 -9.23678235e-06 4.40938279e-06
5.55305806e+00 -9.23678236e-06 4.20338177e-06
5.57417235e+00 -9.23678238e-06 3.99024005e-06
5.59528664e+00 -9.23678239e-06 3.78595185e-06
5.61640092e+00 -9.23678241e-06 3.60564588e-06
5.63751521e+00 -9.23678242e-06 3.46151204e-06
5.65862950e+00 -9.23678243e-06 3.36143868e-06
5.67974379e+00 -9.23678245e-06 3.30998573e-06
5.70085808e+00 -9.23678246e-06 3.31234113e-06
5.72197237e+00 -9.23678247e-06 3.36819209e-06
5.74308666e+00 -9.23678248e-06 3.47417828e-06
5.76420095e+00 -9.23678250e-06 3.62847339e-06
5.78531524e+00 -9.23678251e-06 3.82635052e-06
5.80642953e+00 -9.23678252e-06 4.05871004e-06
5.82754382e+00 -9.23678253e-06 4.31290953e-06
5.84865811e+00 -9.23678254e-06 4.57451758e-06
5.86977239e+00 -9.23678255e-06 4.82899399e-06
5.89088668e+00 -9.23678256e-06 5.06289233e-06
5.91200097e+00 -9.23678257e-06 5.26457755e-06
5.93311526e+00 -9.23678259e-06 5.42459689e-06
5.95422955e+00 -9.23678259e-06 5.53584474e-06
5.97534384e+00 -9.23678261e-06 5.59362068e-06
5.99645813e+00 -9.23678261e-06 5.59563957e-06
6.01757242e+00 -9.23678262e-06 5.54202382e-06
6.03868671e+00 -9.23678263e-06 5.43529043e-06
6.05980100e+00 -9.23678264e-06 5.28033200e-06
6.08091529e+00 -9.23678265e-06 5.08437849e-06
6.10202958e+00 -9.23678266e-06 4.85690898e-06
6.12314387e+00 -9.23678267e-06 4.60945689e-06
6.14425815e+00 -9.23678268e-06 4.35521664e-06
6.16537244e+00 -9.23678268e-06 4.10832761e-06
6.18648673e+00 -9.23678269e-06 3.88272561e-06
6.20760102e+00 -9.23678270e-06 3.69059666e-06
6.22871531e+00 -9.23678271e-06 3.54082752e-06
6.24982960e+00 -9.23678272e-06 3.43835232e-06
6.27094389e+00 -9.23678272e-06 3.38559024e-06
6.29205818e+00 -9.23678273e-06 3.38614026e-06
6.31317247e+00 -9.23678274e-06 3.43972289e-06
6.33428676e+00 -9.23678275e-06 3.54411646e-06
6.35540105e+00 -9.23678275e-06 3.69929369e-06
6.37651534e+00 -9.23678276e-06 3.90335523e-06
6.39762962e+00 -9.23678277e-06 4.15060877e-06
6.41874391e+00 -9.23678277e-06 4.43169000e-06
6.43985820e+00 -9.23678278e-06 4.73477831e-06
6.46097249e+00 -9.23678279e-06 5.04702557e-06
6.48208678e+00 -9.23678279e-06 5.35571181e-06
6.50320107e+00 -9.23678280e-06 5.64900606e-06
6.52431536e+00 -9.23678280e-06 5.91639735e-06
6.54542965e+00 -9.23678281e-06 6.14890656e-06
6.56654394e+00 -9.23678281e-06 6.33917205e-06
6.58765823e+00 -9.23678282e-06 6.48147080e-06
6.60877252e+00 -9.23678283e-06 6.57171119e-06
6.62988681e+00 -9.23678283e-06 6.60741667e-06
6.65100110e+00 -9.23678284e-06 6.58771024e-06
6.67211538e+00 -9.23678284e-06 6.51330382e-06
6.69322967e+00 -9.23678285e-06 6.38649380e-06
6.71434396e+00 -9.23678285e-06 6.21116157e-06
6.73545825e+00 -9.23678286e-06 5.99277497e-06
6.75657254e+00 -9.23678286e-06 5.73838211e-06
6.77768683e+00 -9.23678287e-06 5.45658045e-06
6.79880112e+00 -9.23678287e-06 5.15743076e-06
6.81991541e+00 -9.23678288e-06 4.85226411e-06
6.84102970e+00 -9.23678288e-06 4.55330437e-06
6.86214399e+00 -9.23678288e-06 4.27301263e-06
6.88325828e+00 -9.23678289e-06 4.02309079e-06
6.90437257e+00 -9.23678289e-06 3.81322147e-06
6.92548685e+00 -9.23678290e-06 3.64990945e-06
6.94660114e+00 -9.23678290e-06 3.53613592e-06
6.96771543e+00 -9.23678290e-06 3.47266641e-06
6.98882972e+00 -9.23678291e-06 3.46134973e-06
7.00994401e+00 -9.23678291e-06 3.50290162e-06
7.03105830e+00 -9.23678292e-06 3.59541880e-06
7.05217259e+00 -9.23678292e-06 3.73999674e-06
7.07328688e+00 -9.23678292e-06 3.93739798e-06
7.09440117e+00 -9.23678293e-06 4.18558246e-06
7.11551546e+00 -9.23678293e-06 4.47899461e-06
7.13662975e+00 -9.23678293e-06 4.80911545e-06
7.15774404e+00 -9.23678294e-06 5.16556532e-06
7.17885832e+00 -9.23678294e-06 5.53720098e-06
7.19997261e+00 -9.23678294e-06 5.91294759e-06
7.22108690e+00 -9.23678295e-06 6.28233023e-06
7.24220119e+00 -9.23678295e-06 6.63577030e-06
7.26331548e+00 -9.23678295e-06 6.96472839e-06
7.28442977e+00 -9.23678296e-06 7.26175866e-06
7.30554406e+00 -9.23678296e-06 7.52051734e-06
7.32665835e+00 -9.23678296e-06 7.73575018e-06
7.34777264e+00 -9.23678297e-06 7.90327255e-06
7.36888693e+00 -9.23678297e-06 8.01994907e-06
7.39000122e+00 -9.23678297e-06 8.08367591e-06
7.41111551e+00 -9.23678297e-06 8.09336736e-06
7.43222980e+00 -9.23678298e-06 8.04894692e-06
7.45334408e+00 -9.23678298e-06 7.95134313e-06
7.47445837e+00 -9.23678298e-06 7.80249020e-06
7.49557266e+00 -9.23678298e-06 7.60533286e-06
7.51668695e+00 -9.23678299e-06 7.36383537e-06
7.53780124e+00 -9.23678299e-06 7.08299276e-06
7.55891553e+00 -9.23678299e-06 6.76884211e-06
7.58002982e+00 -9.23678299e-06 6.42846768e-06
7.60114411e+00 -9.23678300e-06 6.06998883e-06
7.62225840e+00 -9.23678300e-06 5.70251080e-06
7.64337269e+00 -9.23678300e-06 5.33600398e-06
7.66448698e+00 -9.23678300e-06 4.98105985e-06
7.68560127e+00 -9.23678301e-06 4.64845580e-06
7.70671555e+00 -9.23678301e-06 4.34846840e-06
7.72782984e+00 -9.23678301e-06 4.08994045e-06
7.74894413e+00 -9.23678301e-06 3.87927100e-06
7.77005842e+00 -9.23678301e-06 3.71974129e-06
7.79117271e+00 -9.23678302e-06 3.61177557e-06
7.81228700e+00 -9.23678302e-06 3.55465256e-06
7.83340129e+00 -9.23678302e-06 3.54941778e-06
7.85451558e+00 -9.23678302e-06 3.59579072e-06
7.87562987e+00 -9.23678302e-06 3.69294809e-06
7.89674416e+00 -9.23678303e-06 3.84305216e-06
7.91785845e+00 -9.23678303e-06 4.04824153e-06
7.93897274e+00 -9.23678303e-06 4.30843574e-06
7.96008702e+00 -9.23678303e-06 4.62047563e-06
7.98120131e+00 -9.23678303e-06 4.97835215e-06
8.00231560e+00 -9.23678304e-06 5.37401549e-06
8.02342989e+00 -9.23678304e-06 5.79829392e-06
8.04454418e+00 -9.23678304e-06 6.24165354e-06
8.06565847e+00 -9.23678304e-06 6.69472083e-06
8.08677276e+00 -9.23678304e-06 7.14859633e-06
8.10788705e+00 -9.23678304e-06 7.59502031e-06
8.12900134e+00 -9.23678305e-06 8.02644649e-06
8.15011563e+00 -9.23678305e-06 8.43606435e-06
8.17122992e+00 -9.23678305e-06 8.81779515e-06
8.19234421e+00 -9.23678305e-06 9.16627649e-06
8.21345850e+00 -9.23678305e-06 9.47684304e-06
8.23457278e+00 -9.23678305e-06 9.74550759e-06
8.25568707e+00 -9.23678305e-06 9.96894396e-06
8.27680136e+00 -9.23678306e-06 1.01444726e-05
8.29791565e+00 -9.23678306e-06 1.02700487e-05
8.31902994e+00 -9.23678306e-06 1.03442531e-05
8.34014423e+00 -9.23678306e-06 1.03662855e-05
8.36125852e+00 -9.23678306e-06 1.03359600e-05
8.38237281e+00 -9.23678306e-06 1.02537023e-05
8.40348710e+00 -9.23678306e-06 1.01205495e-05
8.42460139e+00 -9.23678307e-06 9.93815175e-06
8.44571568e+00 -9.23678307e-06 9.70877607e-06
8.46682997e+00 -9.23678307e-06 9.43531225e-06
8.48794425e+00 -9.23678307e-06 9.12128137e-06
8.50905854e+00 -9.23678307e-06 8.77084652e-06
8.53017283e+00 -9.23678307e-06 8.38882551e-06
8.55128712e+00 -9.23678307e-06 7.98070472e-06
8.57240141e+00 -9.23678308e-06 7.55265158e-06
8.59351570e+00 -9.23678308e-06 7.11152128e-06
8.61462999e+00 -9.23678308e-06 6.66484886e-06
8.63574428e+00 -9.23678308e-06 6.22081107e-06
8.65685857e+00 -9.23678308e-06 5.78813250e-06
8.67797286e+00 -9.23678308e-06 5.37589707e-06
8.69908715e+00 -9.23678308e-06 4.99321526e-06
8.72020144e+00 -9.23678308e-06 4.64870022e-06
8.74131572e+00 -9.23678308e-06 4.34974840e-06
8.76243001e+00 -9.23678308e-06 4.10172722e-06
8.78354430e+00 -9.23678309e-06 3.90734172e-06
8.80465859e+00 -9.23678309e-06 3.76660256e-06
8.82577288e+00 -9.23678309e-06 3.67780505e-06
8.84688717e+00 -9.23678309e-06 3.63966563e-06
8.86800146e+00 -9.23678309e-06 3.65283172e-06
8.88911575e+00 -9.23678309e-06 3.71599660e-06
8.91023004e+00 -9.23678309e-06 3.83022586e-06
8.93134433e+00 -9.23678309e-06 3.99875718e-06
8.95245862e+00 -9.23678309e-06 4.22450262e-06
8.97357291e+00 -9.23678309e-06 4.50836299e-06
8.99468720e+00 -9.23678310e-06 4.84854862e-06
9.01580148e+00 -9.23678310e-06 5.24074219e-06
9.03691577e+00 -9.23678310e-06 5.67873227e-06
9.05803006e+00 -9.23678310e-06 6.15515785e-06
9.07914435e+00 -9.23678310e-06 6.66214476e-06
9.10025864e+00 -9.23678310e-06 7.19175968e-06
9.12137293e+00 -9.23678310e-06 7.73629387e-06
9.14248722e+00 -9.23678310e-06 8.28842059e-06
9.16360151e+00 -9.23678310e-06 8.84127082e-06
9.18471580e+00 -9.23678310e-06 9.38846077e-06
9.20583009e+00 -9.23678310e-06 9.92409375e-06
9.22694438e+00 -9.23678310e-06 1.04427494e-05
9.24805867e+00 -9.23678311e-06 1.09394683e-05
9.26917295e+00 -9.23678311e-06 1.14097352e-05
9.29028724e+00 -9.23678311e-06 1.18494640e-05
9.31140153e+00 -9.23678311e-06 1.22549835e-05
9.33251582e+00 -9.23678311e-06 1.26230257e-05
9.35363011e+00 -9.23678311e-06 1.29507161e-05
9.37474440e+00 -9.23678311e-06 1.32355653e-05
9.39585869e+00 -9.23678311e-06 1.34754618e-05
9.41697298e+00 -9.23678311e-06 1.36686674e-05
9.43808727e+00 -9.23678311e-06 1.38138116e-05
9.45920156e+00 -9.23678311e-06 1.39098890e-05
9.48031585e+00 -9.23678311e-06 1.39562560e-05
9.50143014e+00 -9.23678311e-06 1.39526290e-05
9.52254442e+00 -9.23678311e-06 1.38990830e-05
9.54365871e+00 -9.23678311e-06 1.37960509e-05
9.56477300e+00 -9.23678312e-06 1.36443234e-05
9.58588729e+00 -9.23678312e-06 1.34450494e-05
9.60700158e+00 -9.23678312e-06 1.31997377e-05
9.62811587e+00 -9.23678312e-06 1.29102587e-05
