#	Time	Error_of_Energy
6.04658027e-04 -0.00000000e+00
1.20931605e-03 -2.56395025e-16
1.81397408e-03 -5.12790050e-16
2.41863211e-03 -1.02558010e-15
3.02329013e-03 -1.02558010e-15
3.62794816e-03 -1.66656766e-15
4.23260619e-03 -1.92296269e-15
4.83726421e-03 -2.82034527e-15
5.44192224e-03 -3.84592537e-15
6.04658027e-03 -4.48691293e-15
6.65123829e-03 -5.38429552e-15
7.25589632e-03 -6.53807313e-15
7.86055435e-03 -8.20464080e-15
8.46521237e-03 -8.97382587e-15
9.06987040e-03 -1.03839985e-14
9.67452842e-03 -1.20505662e-14
1.02791865e-02 -1.35889363e-14
1.08838445e-02 -1.53837015e-14
1.14885025e-02 -1.74348617e-14
1.20931605e-02 -1.88450343e-14
1.26978186e-02 -2.10243920e-14
1.33024766e-02 -2.30755522e-14
1.39071346e-02 -2.49985149e-14
1.45117926e-02 -2.71778726e-14
1.51164507e-02 -2.94854279e-14
1.57211087e-02 -3.23057731e-14
1.63257667e-02 -3.48697234e-14
1.69304247e-02 -3.69208836e-14
1.75350828e-02 -3.94848338e-14
1.81397408e-02 -4.23051791e-14
1.87443988e-02 -4.55101169e-14
1.93490568e-02 -4.83304622e-14
1.99537149e-02 -5.14072025e-14
2.05583729e-02 -5.42275478e-14
2.11630309e-02 -5.78170781e-14
2.17676890e-02 -6.12784109e-14
2.23723470e-02 -6.46115463e-14
2.29770050e-02 -6.82010766e-14
2.35816630e-02 -7.20470020e-14
2.41863211e-02 -7.56365323e-14
2.47909791e-02 -7.96106552e-14
2.53956371e-02 -8.35847781e-14
2.60002951e-02 -8.73025060e-14
2.66049532e-02 -9.15330239e-14
2.72096112e-02 -9.53789492e-14
2.78142692e-02 -9.99940597e-14
2.84189272e-02 -1.03968183e-13
2.90235853e-02 -1.08839688e-13
2.96282433e-02 -1.13070206e-13
3.02329013e-02 -1.17428921e-13
3.08375594e-02 -1.22556822e-13
3.14422174e-02 -1.27428327e-13
3.20468754e-02 -1.32556228e-13
3.26515334e-02 -1.37171338e-13
3.32561915e-02 -1.42042844e-13
3.38608495e-02 -1.47170744e-13
3.44655075e-02 -1.52555040e-13
3.50701655e-02 -1.57939335e-13
3.56748236e-02 -1.63580026e-13
3.62794816e-02 -1.69092519e-13
3.68841396e-02 -1.75117802e-13
3.74887976e-02 -1.80502097e-13
3.80934557e-02 -1.86399183e-13
3.86981137e-02 -1.92424466e-13
3.93027717e-02 -1.98449749e-13
3.99074298e-02 -2.04603230e-13
4.05120878e-02 -2.10500315e-13
4.11167458e-02 -2.16781994e-13
4.17214038e-02 -2.23448264e-13
4.23260619e-02 -2.29473547e-13
4.29307199e-02 -2.36524410e-13
4.35353779e-02 -2.43190681e-13
4.41400359e-02 -2.50113347e-13
4.47446940e-02 -2.56779617e-13
4.53493520e-02 -2.63574086e-13
4.59540100e-02 -2.70753146e-13
4.65586680e-02 -2.78188602e-13
4.71633261e-02 -2.85111268e-13
4.77679841e-02 -2.92290328e-13
4.83726421e-02 -2.99725784e-13
4.89773002e-02 -3.07417635e-13
4.95819582e-02 -3.14853091e-13
5.01866162e-02 -3.22288546e-13
5.07912742e-02 -3.29980397e-13
5.13959323e-02 -3.37672248e-13
5.20005903e-02 -3.45235901e-13
5.26052483e-02 -3.53696937e-13
5.32099063e-02 -3.61260590e-13
5.38145644e-02 -3.69465231e-13
5.44192224e-02 -3.77798069e-13
5.50238804e-02 -3.86387302e-13
5.56285384e-02 -3.95232931e-13
5.62331965e-02 -4.03822164e-13
5.68378545e-02 -4.12283200e-13
