#	Time	Error_of_Energy
3.02329013e-04 1.28197512e-16
6.04658027e-04 1.28197512e-16
9.06987040e-04 2.56395025e-16
1.20931605e-03 2.56395025e-16
1.51164507e-03 5.12790050e-16
1.81397408e-03 2.56395025e-16
2.11630309e-03 1.28197512e-16
2.41863211e-03 2.56395025e-16
2.72096112e-03 -0.00000000e+00
3.02329013e-03 2.56395025e-16
3.32561915e-03 2.56395025e-16
3.62794816e-03 -0.00000000e+00
3.93027717e-03 1.28197512e-16
4.23260619e-03 1.28197512e-16
4.53493520e-03 -5.12790050e-16
4.83726421e-03 -3.84592537e-16
5.13959323e-03 -3.84592537e-16
5.44192224e-03 -7.69185075e-16
5.74425125e-03 -6.40987562e-16
6.04658027e-03 -1.02558010e-15
6.34890928e-03 -1.15377761e-15
6.65123829e-03 -7.69185075e-16
6.95356731e-03 -8.97382587e-16
7.25589632e-03 -7.69185075e-16
7.55822533e-03 -7.69185075e-16
7.86055435e-03 -8.97382587e-16
8.16288336e-03 -1.28197512e-15
8.46521237e-03 -1.28197512e-15
8.76754138e-03 -1.79476517e-15
9.06987040e-03 -1.41017264e-15
9.37219941e-03 -1.92296269e-15
9.67452842e-03 -2.30755522e-15
9.97685744e-03 -2.05116020e-15
1.02791865e-02 -2.05116020e-15
1.05815155e-02 -2.43575274e-15
1.08838445e-02 -2.69214776e-15
1.11861735e-02 -3.20493781e-15
1.14885025e-02 -2.69214776e-15
1.17908315e-02 -3.33313532e-15
1.20931605e-02 -3.58953035e-15
1.23954895e-02 -3.97412289e-15
1.26978186e-02 -3.84592537e-15
1.30001476e-02 -4.10232040e-15
1.33024766e-02 -3.84592537e-15
1.36048056e-02 -4.35871542e-15
1.39071346e-02 -4.35871542e-15
1.42094636e-02 -4.48691293e-15
1.45117926e-02 -4.87150547e-15
1.48141217e-02 -5.12790050e-15
1.51164507e-02 -5.64069055e-15
1.54187797e-02 -5.89708557e-15
1.57211087e-02 -6.02528308e-15
1.60234377e-02 -6.40987562e-15
1.63257667e-02 -7.17906070e-15
1.66280957e-02 -7.69185075e-15
1.69304247e-02 -7.69185075e-15
1.72327538e-02 -8.20464080e-15
1.75350828e-02 -8.46103582e-15
