#	Time	Error_of_Energy
6.04658027e-04 -0.00000000e+00
1.20931605e-03 6.40987562e-16
1.81397408e-03 5.12790050e-16
2.41863211e-03 5.12790050e-16
3.02329013e-03 5.12790050e-16
3.62794816e-03 7.69185075e-16
4.23260619e-03 5.12790050e-16
4.83726421e-03 8.97382587e-16
5.44192224e-03 8.97382587e-16
6.04658027e-03 1.02558010e-15
6.65123829e-03 1.02558010e-15
7.25589632e-03 1.41017264e-15
7.86055435e-03 1.02558010e-15
8.46521237e-03 1.53837015e-15
9.06987040e-03 1.66656766e-15
9.67452842e-03 1.53837015e-15
1.02791865e-02 1.66656766e-15
1.08838445e-02 1.79476517e-15
1.14885025e-02 1.92296269e-15
1.20931605e-02 2.05116020e-15
1.26978186e-02 1.79476517e-15
1.33024766e-02 2.05116020e-15
1.39071346e-02 2.30755522e-15
1.45117926e-02 2.43575274e-15
1.51164507e-02 2.69214776e-15
1.57211087e-02 2.56395025e-15
1.63257667e-02 2.30755522e-15
1.69304247e-02 2.94854279e-15
1.75350828e-02 2.43575274e-15
1.81397408e-02 2.94854279e-15
1.87443988e-02 3.20493781e-15
1.93490568e-02 3.33313532e-15
1.99537149e-02 3.33313532e-15
2.05583729e-02 3.33313532e-15
2.11630309e-02 3.07674030e-15
2.17676890e-02 3.20493781e-15
2.23723470e-02 3.46133284e-15
2.29770050e-02 3.84592537e-15
2.35816630e-02 3.33313532e-15
2.41863211e-02 3.46133284e-15
2.47909791e-02 3.58953035e-15
2.53956371e-02 4.10232040e-15
2.60002951e-02 4.48691293e-15
2.66049532e-02 4.10232040e-15
2.72096112e-02 4.74330796e-15
2.78142692e-02 4.35871542e-15
2.84189272e-02 4.23051791e-15
2.90235853e-02 4.87150547e-15
2.96282433e-02 4.61511045e-15
3.02329013e-02 4.99970298e-15
3.08375594e-02 4.99970298e-15
3.14422174e-02 4.87150547e-15
3.20468754e-02 5.25609801e-15
3.26515334e-02 4.99970298e-15
3.32561915e-02 5.38429552e-15
3.38608495e-02 5.64069055e-15
3.44655075e-02 5.89708557e-15
3.50701655e-02 5.12790050e-15
3.56748236e-02 5.89708557e-15
3.62794816e-02 5.64069055e-15
3.68841396e-02 5.38429552e-15
3.74887976e-02 5.76888806e-15
3.80934557e-02 5.76888806e-15
3.86981137e-02 6.02528308e-15
3.93027717e-02 6.02528308e-15
3.99074298e-02 6.02528308e-15
4.05120878e-02 6.15348060e-15
4.11167458e-02 6.02528308e-15
4.17214038e-02 6.53807313e-15
4.23260619e-02 6.40987562e-15
4.29307199e-02 5.89708557e-15
4.35353779e-02 6.40987562e-15
4.41400359e-02 6.28167811e-15
4.47446940e-02 6.53807313e-15
4.53493520e-02 6.66627065e-15
4.59540100e-02 6.40987562e-15
4.65586680e-02 7.30725821e-15
4.71633261e-02 6.79446816e-15
4.77679841e-02 7.30725821e-15
4.83726421e-02 7.17906070e-15
4.89773002e-02 7.17906070e-15
4.95819582e-02 7.43545572e-15
5.01866162e-02 7.69185075e-15
5.07912742e-02 7.69185075e-15
5.13959323e-02 7.56365323e-15
5.20005903e-02 8.07644328e-15
5.26052483e-02 7.94824577e-15
5.32099063e-02 8.20464080e-15
5.38145644e-02 8.20464080e-15
5.44192224e-02 7.94824577e-15
5.50238804e-02 8.33283831e-15
5.56285384e-02 8.33283831e-15
5.62331965e-02 8.46103582e-15
5.68378545e-02 8.20464080e-15
5.74425125e-02 8.58923333e-15
5.80471705e-02 8.58923333e-15
5.86518286e-02 8.84562836e-15
5.92564866e-02 9.10202338e-15
5.98611446e-02 9.35841841e-15
6.04658027e-02 9.10202338e-15
6.10704607e-02 9.35841841e-15
6.16751187e-02 9.48661592e-15
6.22797767e-02 9.23022089e-15
6.28844348e-02 9.48661592e-15
6.34890928e-02 9.74301094e-15
6.40937508e-02 9.99940597e-15
6.46984088e-02 9.74301094e-15
6.53030669e-02 9.74301094e-15
6.59077249e-02 9.87120846e-15
6.65123829e-02 9.99940597e-15
6.71170409e-02 9.99940597e-15
6.77216990e-02 9.99940597e-15
6.83263570e-02 9.99940597e-15
6.89310150e-02 1.02558010e-14
6.95356731e-02 1.02558010e-14
7.01403311e-02 1.05121960e-14
7.07449891e-02 1.05121960e-14
7.13496471e-02 1.03839985e-14
7.19543052e-02 1.10249861e-14
7.25589632e-02 1.05121960e-14
7.31636212e-02 1.10249861e-14
7.37682792e-02 1.10249861e-14
7.43729373e-02 1.10249861e-14
7.49775953e-02 1.14095786e-14
7.55822533e-02 1.11531836e-14
7.61869113e-02 1.14095786e-14
7.67915694e-02 1.15377761e-14
7.73962274e-02 1.15377761e-14
7.80008854e-02 1.15377761e-14
7.86055435e-02 1.17941711e-14
7.92102015e-02 1.19223687e-14
7.98148595e-02 1.17941711e-14
8.04195175e-02 1.20505662e-14
8.10241756e-02 1.20505662e-14
8.16288336e-02 1.20505662e-14
8.22334916e-02 1.21787637e-14
8.28381496e-02 1.24351587e-14
8.34428077e-02 1.23069612e-14
8.40474657e-02 1.24351587e-14
8.46521237e-02 1.25633562e-14
8.52567817e-02 1.24351587e-14
8.58614398e-02 1.24351587e-14
8.64660978e-02 1.25633562e-14
8.70707558e-02 1.26915537e-14
8.76754138e-02 1.28197512e-14
8.82800719e-02 1.30761463e-14
