#	Time	Error_of_Energy
4.77464829e-03 -8.49751592e-07
9.54929659e-03 -3.38990487e-06
1.43239449e-02 -7.59335313e-06
1.90985932e-02 -1.34155707e-05
2.38732415e-02 -2.07955662e-05
2.86478898e-02 -2.96571697e-05
3.34225380e-02 -3.99106073e-05
3.81971863e-02 -5.14543110e-05
4.29718346e-02 -6.41769037e-05
4.77464829e-02 -7.79592957e-05
5.25211312e-02 -9.26768311e-05
5.72957795e-02 -1.08201422e-04
6.20704278e-02 -1.24403619e-04
6.68450761e-02 -1.41154556e-04
7.16197244e-02 -1.58327754e-04
7.63943727e-02 -1.75800717e-04
8.11690210e-02 -1.93456331e-04
8.59436693e-02 -2.11184028e-04
9.07183176e-02 -2.28880721e-04
9.54929659e-02 -2.46451515e-04
1.00267614e-01 -2.63810189e-04
1.05042262e-01 -2.80879485e-04
1.09816911e-01 -2.97591199e-04
1.14591559e-01 -3.13886113e-04
1.19366207e-01 -3.29713784e-04
1.24140856e-01 -3.45032212e-04
1.28915504e-01 -3.59807415e-04
1.33690152e-01 -3.74012925e-04
1.38464800e-01 -3.87629240e-04
1.43239449e-01 -4.00643234e-04
1.48014097e-01 -4.13047554e-04
1.52788745e-01 -4.24840011e-04
1.57563394e-01 -4.36022981e-04
1.62338042e-01 -4.46602826e-04
1.67112690e-01 -4.56589338e-04
1.71887339e-01 -4.65995218e-04
1.76661987e-01 -4.74835587e-04
1.81436635e-01 -4.83127542e-04
1.86211283e-01 -4.90889742e-04
1.90985932e-01 -4.98142044e-04
1.95760580e-01 -5.04905173e-04
2.00535228e-01 -5.11200428e-04
2.05309877e-01 -5.17049429e-04
2.10084525e-01 -5.22473899e-04
2.14859173e-01 -5.27495467e-04
2.19633821e-01 -5.32135517e-04
2.24408470e-01 -5.36415048e-04
2.29183118e-01 -5.40354564e-04
2.33957766e-01 -5.43973990e-04
2.38732415e-01 -5.47292601e-04
2.43507063e-01 -5.50328967e-04
2.48281711e-01 -5.53100918e-04
2.53056360e-01 -5.55625514e-04
2.57831008e-01 -5.57919039e-04
2.62605656e-01 -5.59996987e-04
2.67380304e-01 -5.61874069e-04
2.72154953e-01 -5.63564220e-04
2.76929601e-01 -5.65080614e-04
2.81704249e-01 -5.66435684e-04
