#	Time	Error_of_Energy
5.96831037e-04 -0.00000000e+00
1.19366207e-03 -1.11022302e-15
1.79049311e-03 1.11022302e-15
2.38732415e-03 4.44089210e-15
2.98415518e-03 5.55111512e-15
3.58098622e-03 6.66133815e-15
4.17781726e-03 8.88178420e-15
4.77464829e-03 1.33226763e-14
5.37147933e-03 1.66533454e-14
5.96831037e-03 2.33146835e-14
6.56514140e-03 2.77555756e-14
7.16197244e-03 3.33066907e-14
7.75880348e-03 3.88578059e-14
8.35563451e-03 4.21884749e-14
8.95246555e-03 5.21804822e-14
9.54929659e-03 5.32907052e-14
1.01461276e-02 6.10622664e-14
1.07429587e-02 6.99440506e-14
1.13397897e-02 7.66053887e-14
1.19366207e-02 8.54871729e-14
1.25334518e-02 9.21485110e-14
1.31302828e-02 9.65894031e-14
1.37271138e-02 1.04360964e-13
1.43239449e-02 1.12132525e-13
1.49207759e-02 1.18793864e-13
1.55176070e-02 1.25455202e-13
1.61144380e-02 1.35447209e-13
1.67112690e-02 1.42108547e-13
1.73081001e-02 1.52100554e-13
1.79049311e-02 1.60982339e-13
1.85017621e-02 1.73194792e-13
1.90985932e-02 1.83186799e-13
1.96954242e-02 1.96509475e-13
2.02922552e-02 2.07611706e-13
2.08890863e-02 2.17603713e-13
2.14859173e-02 2.28705943e-13
2.20827484e-02 2.40918396e-13
2.26795794e-02 2.53130850e-13
2.32764104e-02 2.67563749e-13
2.38732415e-02 2.77555756e-13
2.44700725e-02 2.90878432e-13
2.50669035e-02 3.03090886e-13
2.56637346e-02 3.16413562e-13
2.62605656e-02 3.29736238e-13
2.68573966e-02 3.46389584e-13
2.74542277e-02 3.60822483e-13
2.80510587e-02 3.75255382e-13
2.86478898e-02 3.93018951e-13
2.92447208e-02 4.06341627e-13
2.98415518e-02 4.21884749e-13
3.04383829e-02 4.39648318e-13
3.10352139e-02 4.54081217e-13
3.16320449e-02 4.69624339e-13
3.22288760e-02 4.86277685e-13
3.28257070e-02 5.02931030e-13
3.34225380e-02 5.17363929e-13
3.40193691e-02 5.35127498e-13
3.46162001e-02 5.49560397e-13
3.52130312e-02 5.67323966e-13
3.58098622e-02 5.85087534e-13
3.64066932e-02 6.02851102e-13
3.70035243e-02 6.22835117e-13
3.76003553e-02 6.40598685e-13
3.81971863e-02 6.57252031e-13
3.87940174e-02 6.78346268e-13
3.93908484e-02 6.93889390e-13
3.99876795e-02 7.13873405e-13
4.05845105e-02 7.31636973e-13
4.11813415e-02 7.50510765e-13
4.17781726e-02 7.71605002e-13
4.23750036e-02 7.91589017e-13
4.29718346e-02 8.12683254e-13
4.35686657e-02 8.31557045e-13
4.41654967e-02 8.53761506e-13
4.47623277e-02 8.74855743e-13
4.53591588e-02 8.95949981e-13
4.59559898e-02 9.14823772e-13
4.65528209e-02 9.34807787e-13
4.71496519e-02 9.58122470e-13
4.77464829e-02 9.78106485e-13
4.83433140e-02 1.00031095e-12
4.89401450e-02 1.01918474e-12
4.95369760e-02 1.03916875e-12
5.01338071e-02 1.06248343e-12
5.07306381e-02 1.08024700e-12
5.13274691e-02 1.09912079e-12
5.19243002e-02 1.12243548e-12
5.25211312e-02 1.14463994e-12
5.31179623e-02 1.16573418e-12
5.37147933e-02 1.18793864e-12
5.43116243e-02 1.20903287e-12
5.49084554e-02 1.23345778e-12
5.55052864e-02 1.25344179e-12
5.61021174e-02 1.27675648e-12
5.66989485e-02 1.30007116e-12
5.72957795e-02 1.32227562e-12
5.78926105e-02 1.34670053e-12
5.84894416e-02 1.36557432e-12
5.90862726e-02 1.38777878e-12
5.96831037e-02 1.40776280e-12
6.02799347e-02 1.42885703e-12
6.08767657e-02 1.44884105e-12
6.14735968e-02 1.47104551e-12
6.20704278e-02 1.49102952e-12
6.26672588e-02 1.51212376e-12
6.32640899e-02 1.53432822e-12
6.38609209e-02 1.55431223e-12
6.44577520e-02 1.57540647e-12
6.50545830e-02 1.59650071e-12
6.56514140e-02 1.61870517e-12
6.62482451e-02 1.64201985e-12
6.68450761e-02 1.66533454e-12
6.74419071e-02 1.68642877e-12
6.80387382e-02 1.70863323e-12
6.86355692e-02 1.73194792e-12
6.92324002e-02 1.75304216e-12
6.98292313e-02 1.77302617e-12
7.04260623e-02 1.79745108e-12
7.10228934e-02 1.81632487e-12
7.16197244e-02 1.83852933e-12
7.22165554e-02 1.86073379e-12
7.28133865e-02 1.88293825e-12
7.34102175e-02 1.90292226e-12
7.40070485e-02 1.92512672e-12
7.46038796e-02 1.94733119e-12
7.52007106e-02 1.96842542e-12
7.57975416e-02 1.99062988e-12
7.63943727e-02 2.01283434e-12
7.69912037e-02 2.03170814e-12
7.75880348e-02 2.05391260e-12
7.81848658e-02 2.07500683e-12
7.87816968e-02 2.09499085e-12
7.93785279e-02 2.11608508e-12
7.99753589e-02 2.13495888e-12
8.05721899e-02 2.15383267e-12
8.11690210e-02 2.17603713e-12
8.17658520e-02 2.19491092e-12
8.23626831e-02 2.21822560e-12
8.29595141e-02 2.23598917e-12
8.35563451e-02 2.25597319e-12
8.41531762e-02 2.27706742e-12
8.47500072e-02 2.29372077e-12
8.53468382e-02 2.31370478e-12
8.59436693e-02 2.33479902e-12
8.65405003e-02 2.35145237e-12
8.71373313e-02 2.37254660e-12
8.77341624e-02 2.39253062e-12
8.83309934e-02 2.40918396e-12
8.89278245e-02 2.42805775e-12
8.95246555e-02 2.44693155e-12
9.01214865e-02 2.46469511e-12
9.07183176e-02 2.48578935e-12
9.13151486e-02 2.50133247e-12
9.19119796e-02 2.52242671e-12
9.25088107e-02 2.53908006e-12
9.31056417e-02 2.56128452e-12
9.37024727e-02 2.57904809e-12
9.42993038e-02 2.59681165e-12
