#	Time	Error_of_Energy
6.59821537e-04 -1.19015908e-10
1.31964307e-03 -4.76029216e-10
1.97946461e-03 -1.07093445e-09
2.63928615e-03 -1.90355065e-09
3.29910769e-03 -2.97362690e-09
3.95892922e-03 -4.28084790e-09
4.61875076e-03 -5.82481952e-09
5.27857230e-03 -7.60507879e-09
5.93839383e-03 -9.62109281e-09
6.59821537e-03 -1.18722587e-08
7.25803691e-03 -1.43579071e-08
7.91785845e-03 -1.70772918e-08
8.57767998e-03 -2.00296069e-08
9.23750152e-03 -2.32139641e-08
9.89732306e-03 -2.66294209e-08
1.05571446e-02 -3.02749648e-08
1.12169661e-02 -3.41495066e-08
1.18767877e-02 -3.82518961e-08
1.25366092e-02 -4.25809232e-08
1.31964307e-02 -4.71353101e-08
1.38562523e-02 -5.19137056e-08
1.45160738e-02 -5.69147041e-08
1.51758954e-02 -6.21368301e-08
1.58357169e-02 -6.75785505e-08
1.64955384e-02 -7.32382732e-08
1.71553600e-02 -7.91143395e-08
1.78151815e-02 -8.52050264e-08
1.84750030e-02 -9.15085663e-08
1.91348246e-02 -9.80231163e-08
1.97946461e-02 -1.04746792e-07
2.04544677e-02 -1.11677647e-07
2.11142892e-02 -1.18813679e-07
2.17741107e-02 -1.26152832e-07
2.24339323e-02 -1.33692991e-07
2.30937538e-02 -1.41431999e-07
2.37535753e-02 -1.49367646e-07
2.44133969e-02 -1.57497666e-07
2.50732184e-02 -1.65819748e-07
2.57330400e-02 -1.74331540e-07
2.63928615e-02 -1.83030633e-07
2.70526830e-02 -1.91914574e-07
2.77125046e-02 -2.00980872e-07
2.83723261e-02 -2.10226990e-07
2.90321476e-02 -2.19650353e-07
2.96919692e-02 -2.29248346e-07
3.03517907e-02 -2.39018302e-07
3.10116122e-02 -2.48957536e-07
3.16714338e-02 -2.59063313e-07
3.23312553e-02 -2.69332868e-07
3.29910769e-02 -2.79763399e-07
3.36508984e-02 -2.90352076e-07
3.43107199e-02 -3.01096035e-07
3.49705415e-02 -3.11992386e-07
3.56303630e-02 -3.23038203e-07
3.62901845e-02 -3.34230540e-07
3.69500061e-02 -3.45566424e-07
3.76098276e-02 -3.57042852e-07
3.82696492e-02 -3.68656808e-07
3.89294707e-02 -3.80405245e-07
3.95892922e-02 -3.92285098e-07
4.02491138e-02 -4.04293286e-07
4.09089353e-02 -4.16426711e-07
4.15687568e-02 -4.28682249e-07
4.22285784e-02 -4.41056777e-07
4.28883999e-02 -4.53547143e-07
4.35482215e-02 -4.66150191e-07
4.42080430e-02 -4.78862753e-07
4.48678645e-02 -4.91681651e-07
4.55276861e-02 -5.04603702e-07
4.61875076e-02 -5.17625707e-07
4.68473291e-02 -5.30744465e-07
4.75071507e-02 -5.43956780e-07
4.81669722e-02 -5.57259436e-07
4.88267938e-02 -5.70649231e-07
4.94866153e-02 -5.84122949e-07
5.01464368e-02 -5.97677385e-07
5.08062584e-02 -6.11309328e-07
5.14660799e-02 -6.25015578e-07
5.21259014e-02 -6.38792932e-07
5.27857230e-02 -6.52638192e-07
5.34455445e-02 -6.66548177e-07
5.41053661e-02 -6.80519703e-07
5.47651876e-02 -6.94549595e-07
5.54250091e-02 -7.08634690e-07
5.60848307e-02 -7.22771842e-07
5.67446522e-02 -7.36957909e-07
5.74044737e-02 -7.51189766e-07
5.80642953e-02 -7.65464300e-07
5.87241168e-02 -7.79778419e-07
5.93839383e-02 -7.94129030e-07
6.00437599e-02 -8.08513082e-07
6.07035814e-02 -8.22927522e-07
6.13634030e-02 -8.37369327e-07
6.20232245e-02 -8.51835490e-07
6.26830460e-02 -8.66323029e-07
6.33428676e-02 -8.80828974e-07
6.40026891e-02 -8.95350384e-07
6.46625106e-02 -9.09884343e-07
6.53223322e-02 -9.24427962e-07
6.59821537e-02 -9.38978363e-07
6.66419753e-02 -9.53532711e-07
6.73017968e-02 -9.68088182e-07
6.79616183e-02 -9.82641990e-07
6.86214399e-02 -9.97191377e-07
6.92812614e-02 -1.01173360e-06
6.99410829e-02 -1.02626596e-06
7.06009045e-02 -1.04078579e-06
7.12607260e-02 -1.05529043e-06
7.19205476e-02 -1.06977728e-06
7.25803691e-02 -1.08424376e-06
7.32401906e-02 -1.09868731e-06
7.39000122e-02 -1.11310542e-06
7.45598337e-02 -1.12749560e-06
7.52196552e-02 -1.14185541e-06
7.58794768e-02 -1.15618242e-06
7.65392983e-02 -1.17047426e-06
7.71991199e-02 -1.18472857e-06
7.78589414e-02 -1.19894305e-06
7.85187629e-02 -1.21311542e-06
7.91785845e-02 -1.22724343e-06
7.98384060e-02 -1.24132488e-06
8.04982275e-02 -1.25535761e-06
8.11580491e-02 -1.26933947e-06
8.18178706e-02 -1.28326837e-06
8.24776922e-02 -1.29714227e-06
8.31375137e-02 -1.31095912e-06
8.37973352e-02 -1.32471695e-06
8.44571568e-02 -1.33841381e-06
8.51169783e-02 -1.35204780e-06
8.57767998e-02 -1.36561705e-06
8.64366214e-02 -1.37911971e-06
8.70964429e-02 -1.39255400e-06
8.77562644e-02 -1.40591816e-06
8.84160860e-02 -1.41921046e-06
8.90759075e-02 -1.43242923e-06
8.97357291e-02 -1.44557284e-06
9.03955506e-02 -1.45863966e-06
9.10553721e-02 -1.47162814e-06
9.17151937e-02 -1.48453675e-06
9.23750152e-02 -1.49736399e-06
9.30348367e-02 -1.51010842e-06
9.36946583e-02 -1.52276863e-06
9.43544798e-02 -1.53534323e-06
9.50143014e-02 -1.54783088e-06
9.56741229e-02 -1.56023028e-06
9.63339444e-02 -1.57254018e-06
9.69937660e-02 -1.58475934e-06
9.76535875e-02 -1.59688656e-06
9.83134090e-02 -1.60892071e-06
9.89732306e-02 -1.62086066e-06
9.96330521e-02 -1.63270534e-06
1.00292874e-01 -1.64445369e-06
1.00952695e-01 -1.65610471e-06
1.01612517e-01 -1.66765742e-06
1.02272338e-01 -1.67911090e-06
1.02932160e-01 -1.69046423e-06
1.03591981e-01 -1.70171656e-06
1.04251803e-01 -1.71286704e-06
1.04911624e-01 -1.72391488e-06
1.05571446e-01 -1.73485932e-06
1.06231267e-01 -1.74569962e-06
1.06891089e-01 -1.75643509e-06
1.07550911e-01 -1.76706507e-06
1.08210732e-01 -1.77758892e-06
1.08870554e-01 -1.78800604e-06
1.09530375e-01 -1.79831587e-06
1.10190197e-01 -1.80851787e-06
1.10850018e-01 -1.81861153e-06
1.11509840e-01 -1.82859639e-06
1.12169661e-01 -1.83847200e-06
1.12829483e-01 -1.84823794e-06
1.13489304e-01 -1.85789384e-06
1.14149126e-01 -1.86743934e-06
1.14808947e-01 -1.87687412e-06
1.15468769e-01 -1.88619788e-06
1.16128591e-01 -1.89541034e-06
1.16788412e-01 -1.90451129e-06
