#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1.9900	50436	4.99951499e-09	0.0205	640.0668
1.9910	45601	4.99992310e-09	0.0207	547.2071
1.9920	40497	4.99887324e-09	0.0201	511.2810
1.9930	35272	4.99954794e-09	0.0201	429.2955
1.9940	30035	4.99832842e-09	0.0200	367.1003
1.9950	24434	4.99675015e-09	0.0209	296.5540
1.9960	18290	4.99592585e-09	0.0200	220.2095
1.9970	9280	4.98602556e-09	0.0200	115.6014
1.9980	14234	4.99337110e-09	0.0201	175.7269
1.9990	30017	4.99869811e-09	0.0200	374.0316
